id;type;value;complement
1;Specialist Handmade Granite Bacon Lead;Producer;withdrawal
2;AGP;Pula connecting;Knoll Representative pixel
3;input generating;Grass-roots Berkshire Checking Account;azure
4;GB user-centric unleash;matrix Health paradigm;transform Taiwan
5;program Product;reintermediate Sierra Leone Quality;RSS Mountains Tasty Metal Bike
6;lavender Gorgeous Plastic Chicken redundant;User-friendly Engineer;invoice frame Berkshire
7;synergize engineer;withdrawal;purple Rustic Metal Keyboard Berkshire
8;Investor;middleware Extension;Benin discrete
9;didactic Singapore Dollar;Concrete Chips;Global Steel
10;Home Loan Account;Assistant Plastic;payment Isle
