id;type;name;analysis
1;actionnaire triathlète;délivrer si bien que pendant que;pendant commissionnaire
2;turquoise secours candide;mal svelte cocorico;ouah sauvage
3;ouin;obtenir;secouer considérable
4;intrépide modeler;tant chef de cuisine quand ?;consommer
5;secours gens;parlementaire guide carrément;différer
6;super en plus de de sorte que;au cas où considérable à l'exception de;franchir si bien que
7;aussitôt que concernant boum;organiser quelque équipe de recherche;tsoin-tsoin administration
8;quant à saigner même si;adorable;aménager
9;triathlète;débile vétuste;coin-coin certainement
10;que dynamique;tsoin-tsoin sale;plutôt
